단어,positive,negative,그룹
룰루,0,1,KT Skylife
그러면,0,2,KT Skylife
다르다,5,6,KT Skylife
망이,2,0,KT Skylife
사용자,1,2,KT Skylife
그런지,3,2,KT Skylife
제로,7,4,KT Skylife
과거,2,2,KT Skylife
대비,0,2,KT Skylife
휼륭하네요,0,2,KT Skylife
나아지다,2,0,KT Skylife
흐리다,2,0,KT Skylife
날씨,12,0,KT Skylife
신호,4,2,KT Skylife
많이,6,0,KT Skylife
내일,11,0,KT Skylife
금액,30,0,KT Skylife
부분,8,2,KT Skylife
적당히,2,0,KT Skylife
가장,9,0,KT Skylife
요다,1,0,KT Skylife
쉐어링이나,2,0,KT Skylife
부가,3,0,KT Skylife
서비스,14,2,KT Skylife
고객,39,8,KT Skylife
센터,29,4,KT Skylife
생기다,10,4,KT Skylife
편하다,9,0,KT Skylife
편의,2,0,KT Skylife
감안,4,0,KT Skylife
다만,3,2,KT Skylife
그지,2,2,KT Skylife
결합,23,4,KT Skylife
위성방송,2,0,KT Skylife
자회사,4,0,KT Skylife
수도권,3,0,KT Skylife
안테나,14,2,KT Skylife
끊기다,10,2,KT Skylife
앙팡노무현,1,0,KT Skylife
정부,1,0,KT Skylife
당시,8,2,KT Skylife
국군,2,0,KT Skylife
방송,2,0,KT Skylife
정훈교,2,0,KT Skylife
보급,2,0,KT Skylife
운용,2,0,KT Skylife
안드로이드,2,0,KT Skylife
박스,3,0,KT Skylife
내장,2,0,KT Skylife
영향,5,0,KT Skylife
가깝다,4,0,KT Skylife
전화국,4,0,KT Skylife
옥외,2,0,KT Skylife
시적,2,0,KT Skylife
천시 시,2,0,KT Skylife
위성,3,0,KT Skylife
접시,3,0,KT Skylife
지원,7,0,KT Skylife
장비,7,4,KT Skylife
노무현 정부,1,0,KT Skylife
년월일시,1,0,KT Skylife
수신,4,0,KT Skylife
빠지다,4,0,KT Skylife
서울,2,0,KT Skylife
외곽,2,0,KT Skylife
어디,21,1,KT Skylife
한군데,2,0,KT Skylife
데이,4,0,KT Skylife
결국,2,0,KT Skylife
메인,6,0,KT Skylife
엄청,6,0,KT Skylife
가끔,3,0,KT Skylife
오방,0,1,KT Skylife
이제,11,4,KT Skylife
기존,22,4,KT Skylife
비도,2,0,KT Skylife
이동,17,2,KT Skylife
등등,1,0,KT Skylife
알아보다,14,2,KT Skylife
고가,2,0,KT Skylife
성비,13,0,KT Skylife
좌표,13,2,KT Skylife
스케쥴,1,0,KT Skylife
원하다,6,0,KT Skylife
날짜,2,0,KT Skylife
변경,31,4,KT Skylife
잠깐,1,0,KT Skylife
가까이,3,0,KT Skylife
불편,10,4,KT Skylife
선택,23,0,KT Skylife
현금,10,2,KT Skylife
와이파이,29,10,KT Skylife
우우우우웅웅쪽지드렸어요,6,0,KT Skylife
우우우우웅웅감사합니다,1,0,KT Skylife
우우우우웅웅,1,0,KT Skylife
미뇽,2,0,KT Skylife
가든,1,0,KT Skylife
유지,3,0,KT Skylife
각자,1,0,KT Skylife
테블릿,1,0,KT Skylife
전부,2,0,KT Skylife
버리,5,2,KT Skylife
생활,1,0,KT Skylife
합리,3,0,KT Skylife
이용,10,0,KT Skylife
보기,1,0,KT Skylife
플라이,1,0,KT Skylife
미니,14,3,KT Skylife
적용,13,0,KT Skylife
제휴,15,2,KT Skylife
적군,2,0,KT Skylife
등록,14,4,KT Skylife
칼라,14,0,KT Skylife
블로그,2,0,KT Skylife
스페셜,14,0,KT Skylife
프로모션,8,0,KT Skylife
작성,10,0,KT Skylife
동네,6,2,KT Skylife
공식,11,0,KT Skylife
안내,9,0,KT Skylife
페이지,6,0,KT Skylife
구독,26,0,KT Skylife
실제,6,0,KT Skylife
신규,6,2,KT Skylife
갱신,4,0,KT Skylife
중단,4,0,KT Skylife
단종,8,2,KT Skylife
발급,5,2,KT Skylife
버튼,5,0,KT Skylife
뽑히다,4,0,KT Skylife
공지,12,0,KT Skylife
시행일,4,0,KT Skylife
담당자,4,0,KT Skylife
까먹다,6,0,KT Skylife
아마,11,0,KT Skylife
피드백,8,0,KT Skylife
하면,6,1,KT Skylife
막차,4,0,KT Skylife
달리다,4,0,KT Skylife
마지막,8,0,KT Skylife
롯데카드,16,2,KT Skylife
사항,6,0,KT Skylife
수정,6,2,KT Skylife
총체,4,0,KT Skylife
난국,4,0,KT Skylife
롯데,8,0,KT Skylife
안함,8,0,KT Skylife
잘못,9,0,KT Skylife
기재,8,0,KT Skylife
제대로,17,0,KT Skylife
뒷구멍,8,0,KT Skylife
시작,7,2,KT Skylife
제일,5,0,KT Skylife
상단,4,0,KT Skylife
아래,5,0,KT Skylife
헷갈리다,10,0,KT Skylife
약간,4,0,KT Skylife
언제,4,0,KT Skylife
앨버트,4,0,KT Skylife
로스,6,0,KT Skylife
방금,10,4,KT Skylife
상담,22,2,KT Skylife
사분,1,0,KT Skylife
마이,6,2,KT Skylife
유무선,1,0,KT Skylife
나머지,7,0,KT Skylife
불가,5,2,KT Skylife
새우다,1,0,KT Skylife
아리,1,0,KT Skylife
몇몇,2,0,KT Skylife
우리,2,2,KT Skylife
국민,2,2,KT Skylife
클립,2,2,KT Skylife
예외,2,0,KT Skylife
그래도,3,2,KT Skylife
당연히,8,0,KT Skylife
숙청,2,2,KT Skylife
라이,1,0,KT Skylife
죠지,0,1,KT Skylife
로만,1,2,KT Skylife
겸용,0,2,KT Skylife
선인,0,2,KT Skylife
사와,1,0,KT Skylife
빈대,1,0,KT Skylife
비싸다,9,0,KT Skylife
유선,7,0,KT Skylife
한하다,2,0,KT Skylife
지역,14,0,KT Skylife
따르다,3,2,KT Skylife
가지,2,0,KT Skylife
미니삔그쵸,1,0,KT Skylife
조금,4,0,KT Skylife
외지다,3,0,KT Skylife
시골,2,2,KT Skylife
라이프만그쵸,1,0,KT Skylife
작년,5,2,KT Skylife
이맘때,0,2,KT Skylife
매달,1,4,KT Skylife
아쉽다,2,0,KT Skylife
검색,20,2,KT Skylife
그리다,1,0,KT Skylife
소유,1,4,KT Skylife
반장,0,1,KT Skylife
리모콘,0,2,KT Skylife
고장,0,2,KT Skylife
무상,1,4,KT Skylife
조지다,0,1,KT Skylife
임대,0,6,KT Skylife
망고,1,1,KT Skylife
에이드,0,1,KT Skylife
자기,1,2,KT Skylife
과실,4,4,KT Skylife
출장비,4,2,KT Skylife
세르지,1,0,KT Skylife
이면,4,2,KT Skylife
속도,25,2,KT Skylife
들쑥날쑥,2,0,KT Skylife
부시다,0,2,KT Skylife
단순,0,2,KT Skylife
기기,9,4,KT Skylife
이상이,0,2,KT Skylife
라면,1,2,KT Skylife
어댑터,2,0,KT Skylife
안받다,4,0,KT Skylife
달라다,2,0,KT Skylife
최근,2,0,KT Skylife
거실,1,0,KT Skylife
다양,6,0,KT Skylife
채널,13,0,KT Skylife
선명,5,0,KT Skylife
끌리다,1,0,KT Skylife
결정,1,0,KT Skylife
과정,5,0,KT Skylife
배선,1,0,KT Skylife
작업,2,0,KT Skylife
깔끔,11,4,KT Skylife
마무리,2,0,KT Skylife
셋톱박스,5,0,KT Skylife
마치다,1,0,KT Skylife
금방,1,0,KT Skylife
전반,1,0,KT Skylife
친절,2,0,KT Skylife
설명,1,0,KT Skylife
사용법,3,0,KT Skylife
간단,2,0,KT Skylife
활용,1,0,KT Skylife
스럽,8,2,KT Skylife
색감,1,0,KT Skylife
또렷,1,0,KT Skylife
몰입,1,0,KT Skylife
기본,11,0,KT Skylife
구성,1,0,KT Skylife
알차다,1,0,KT Skylife
영화,2,0,KT Skylife
예능,1,0,KT Skylife
스포츠,2,0,KT Skylife
콘텐츠,1,0,KT Skylife
즐기다,2,0,KT Skylife
프로그램,1,0,KT Skylife
안정,10,0,KT Skylife
리모컨,3,0,KT Skylife
반응 속도,2,0,KT Skylife
전환,1,0,KT Skylife
부드럽다,1,0,KT Skylife
더욱,2,0,KT Skylife
생동감,1,0,KT Skylife
간편,3,0,KT Skylife
고려,5,0,KT Skylife
추천,25,8,KT Skylife
보석,0,1,KT Skylife
네네,2,2,KT Skylife
이로,0,1,KT Skylife
나이스,2,0,KT Skylife
카리,2,0,KT Skylife
정인,2,0,KT Skylife
더하다,1,0,KT Skylife
가자,1,0,KT Skylife
사랑,1,1,KT Skylife
여행,3,2,KT Skylife
연못,1,1,KT Skylife
미각,1,0,KT Skylife
장금,1,0,KT Skylife
길환보내두렸어요,1,0,KT Skylife
보내두렸어요,1,0,KT Skylife
들어오다,21,6,KT Skylife
계시다,4,0,KT Skylife
루키,3,0,KT Skylife
성인,2,0,KT Skylife
미성년,2,0,KT Skylife
자녀,2,0,KT Skylife
두더지,1,0,KT Skylife
도사,1,0,KT Skylife
지난달,1,0,KT Skylife
다행,3,4,KT Skylife
데일,1,0,KT Skylife
별로,3,2,KT Skylife
지전,1,0,KT Skylife
포인트,4,0,KT Skylife
심심,0,1,KT Skylife
아르,2,0,KT Skylife
만사,2,0,KT Skylife
제가,11,0,KT Skylife
헷갈렷나보네요,2,0,KT Skylife
페이,4,0,KT Skylife
쓰리,3,0,KT Skylife
가입자,3,2,KT Skylife
연장,5,0,KT Skylife
비교,7,0,KT Skylife
추가,12,2,KT Skylife
판단,1,0,KT Skylife
테나,1,0,KT Skylife
아주,1,1,KT Skylife
프로,5,2,KT Skylife
모션,2,0,KT Skylife
보이다,10,0,KT Skylife
서핑,3,0,KT Skylife
달라지다,0,2,KT Skylife
못느낄실텐뎅,0,2,KT Skylife
뿌윙뿌랑같은,1,0,KT Skylife
구려,2,0,KT Skylife
뿌윙뿌티비화질은,0,1,KT Skylife
어짜다,0,2,KT Skylife
대략,1,2,KT Skylife
이득,1,2,KT Skylife
손해일,0,2,KT Skylife
뿌윙뿌아이피타임,1,0,KT Skylife
아이피타임,1,0,KT Skylife
싸나이쭌업체,1,0,KT Skylife
뿌윙뿌쪽지,2,0,KT Skylife
사바,2,0,KT Skylife
아무것,1,0,KT Skylife
소식,1,0,KT Skylife
가래자엠모,1,0,KT Skylife
엠모,1,0,KT Skylife
화룡반지스카이라이프,1,0,KT Skylife
이후,2,0,KT Skylife
발송,2,0,KT Skylife
오후,0,2,KT Skylife
